Vteam,Hteam
New Orleans Pelicans,Los Angeles Clippers
Portland Trail Blazers,Sacramento Kings
Miami Heat,Philadelphia 76ers
Houston Rockets,San Antonio Spurs
Charlotte Hornets,Toronto Raptors
Golden State Warriors,Denver Nuggets
Indiana Pacers,Portland Trail Blazers
Orlando Magic,Boston Celtics
New York Knicks,Cleveland Cavaliers
Dallas Mavericks,Milwaukee Bucks
Chicago Bulls,Oklahoma City Thunder
Atlanta Hawks,Utah Jazz
New Orleans Pelicans,Los Angeles Lakers
Los Angeles Clippers,Sacramento Kings
Houston Rockets,San Antonio Spurs
Orlando Magic,Brooklyn Nets
Charlotte Hornets,Toronto Raptors
Philadelphia 76ers,Memphis Grizzlies
Detroit Pistons,Miami Heat
Atlanta Hawks,Portland Trail Blazers
New York Knicks,Boston Celtics
Chicago Bulls,Dallas Mavericks
Utah Jazz,Denver Nuggets
New Orleans Pelicans,Sacramento Kings
Indiana Pacers,Los Angeles Clippers
Orlando Magic,New York Knicks
Minnesota Timberwolves,Atlanta Hawks
San Antonio Spurs,Portland Trail Blazers
Phoenix Suns,Memphis Grizzlies
Milwaukee Bucks,Brooklyn Nets
Dallas Mavericks,Toronto Raptors
Houston Rockets,Chicago Bulls
Detroit Pistons,Miami Heat
Golden State Warriors,Los Angeles Lakers
Oklahoma City Thunder,Denver Nuggets
New Orleans Pelicans,Utah Jazz
Brooklyn Nets,Cleveland Cavaliers
Dallas Mavericks,Indiana Pacers
Boston Celtics,Philadelphia 76ers
Detroit Pistons,Atlanta Hawks
Miami Heat,Toronto Raptors
Orlando Magic,Minnesota Timberwolves
Phoenix Suns,Houston Rockets
San Antonio Spurs,Golden State Warriors
Sacramento Kings,Los Angeles Clippers
Los Angeles Lakers,Milwaukee Bucks
New York Knicks,Golden State Warriors
New Orleans Pelicans,Utah Jazz
Chicago Bulls,Charlotte Hornets
Houston Rockets,Detroit Pistons
Orlando Magic,Indiana Pacers
Brooklyn Nets,Cleveland Cavaliers
Boston Celtics,Philadelphia 76ers
Miami Heat,Toronto Raptors
Atlanta Hawks,Minnesota Timberwolves
Dallas Mavericks,San Antonio Spurs
Oklahoma City Thunder,Los Angeles Clippers
Denver Nuggets,Phoenix Suns
New York Knicks,Sacramento Kings
Miami Heat,Brooklyn Nets
Philadelphia 76ers,Detroit Pistons
New Orleans Pelicans,Minnesota Timberwolves
Los Angeles Lakers,Chicago Bulls
Houston Rockets,Dallas Mavericks
Denver Nuggets,Phoenix Suns
Golden State Warriors,Utah Jazz
Toronto Raptors,Indiana Pacers
Oklahoma City Thunder,Los Angeles Clippers
Cleveland Cavaliers,Boston Celtics
Charlotte Hornets,Orlando Magic
Atlanta Hawks,Milwaukee Bucks
Washington Wizards,San Antonio Spurs
New York Knicks,Portland Trail Blazers
Philadelphia 76ers,Detroit Pistons
Toronto Raptors,Indiana Pacers
Charlotte Hornets,Orlando Magic
Miami Heat,Brooklyn Nets
Los Angeles Lakers,Cleveland Cavaliers
Denver Nuggets,Dallas Mavericks
Boston Celtics,Chicago Bulls
Minnesota Timberwolves,Golden State Warriors
Oklahoma City Thunder,Portland Trail Blazers
Los Angeles Clippers,Atlanta Hawks
Washington Wizards,Houston Rockets
New York Knicks,Utah Jazz
Indiana Pacers,Charlotte Hornets
Detroit Pistons,Cleveland Cavaliers
Sacramento Kings,Orlando Magic
Brooklyn Nets,Atlanta Hawks
Denver Nuggets,Miami Heat
Los Angeles Lakers,Philadelphia 76ers
Milwaukee Bucks,Toronto Raptors
Boston Celtics,San Antonio Spurs
Washington Wizards,New Orleans Pelicans
Oklahoma City Thunder,Phoenix Suns
Dallas Mavericks,Utah Jazz
Minnesota Timberwolves,Golden State Warriors
Portland Trail Blazers,Houston Rockets
Los Angeles Lakers,Detroit Pistons
Los Angeles Clippers,Miami Heat
Golden State Warriors,Phoenix Suns
Indiana Pacers,Charlotte Hornets
Atlanta Hawks,Washington Wizards
Milwaukee Bucks,New Orleans Pelicans
Cleveland Cavaliers,New York Knicks
Sacramento Kings,Toronto Raptors
Philadelphia 76ers,Minnesota Timberwolves
Brooklyn Nets,Oklahoma City Thunder
Los Angeles Clippers,Orlando Magic
Denver Nuggets,San Antonio Spurs
Dallas Mavericks,Utah Jazz
Portland Trail Blazers,Chicago Bulls
Milwaukee Bucks,Charlotte Hornets
Sacramento Kings,Miami Heat
Houston Rockets,New Orleans Pelicans
Los Angeles Lakers,Boston Celtics
Memphis Grizzlies,San Antonio Spurs
Phoenix Suns,Dallas Mavericks
Detroit Pistons,Golden State Warriors
Los Angeles Clippers,New York Knicks
Utah Jazz,Denver Nuggets
Philadelphia 76ers,Indiana Pacers
Orlando Magic,Toronto Raptors
Brooklyn Nets,Washington Wizards
Cleveland Cavaliers,Minnesota Timberwolves
Los Angeles Lakers,Atlanta Hawks
Charlotte Hornets,Miami Heat
New York Knicks,Chicago Bulls
Minnesota Timberwolves,Cleveland Cavaliers
Portland Trail Blazers,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans
Houston Rockets,Oklahoma City Thunder
Phoenix Suns,Dallas Mavericks
Memphis Grizzlies,San Antonio Spurs
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Brooklyn Nets
Memphis Grizzlies,Indiana Pacers
Portland Trail Blazers,Washington Wizards
Boston Celtics,Golden State Warriors
Detroit Pistons,Utah Jazz
Philadelphia 76ers,Charlotte Hornets
Indiana Pacers,Milwaukee Bucks
Dallas Mavericks,Atlanta Hawks
New York Knicks,Chicago Bulls
Los Angeles Clippers,Cleveland Cavaliers
Washington Wizards,Miami Heat
Houston Rockets,Oklahoma City Thunder
Minnesota Timberwolves,San Antonio Spurs
Phoenix Suns,New Orleans Pelicans
Boston Celtics,Sacramento Kings
Utah Jazz,Atlanta Hawks
Golden State Warriors,Dallas Mavericks
Portland Trail Blazers,Philadelphia 76ers
Houston Rockets,Memphis Grizzlies
Denver Nuggets,Los Angeles Lakers
New Orleans Pelicans,Indiana Pacers
Chicago Bulls,Orlando Magic
Toronto Raptors,Brooklyn Nets
Milwaukee Bucks,Cleveland Cavaliers
Utah Jazz,Charlotte Hornets
Washington Wizards,Miami Heat
Minnesota Timberwolves,Oklahoma City Thunder
Detroit Pistons,Phoenix Suns
Boston Celtics,Los Angeles Clippers
Portland Trail Blazers,New York Knicks
Denver Nuggets,Sacramento Kings
Chicago Bulls,Orlando Magic
Toronto Raptors,Atlanta Hawks
Milwaukee Bucks,Cleveland Cavaliers
San Antonio Spurs,Houston Rockets
Minnesota Timberwolves,Oklahoma City Thunder
Brooklyn Nets,Philadelphia 76ers
Golden State Warriors,Dallas Mavericks
Memphis Grizzlies,New Orleans Pelicans
Detroit Pistons,Los Angeles Lakers
Washington Wizards,Charlotte Hornets
Utah Jazz,Indiana Pacers
Miami Heat,New York Knicks
Boston Celtics,Phoenix Suns
Sacramento Kings,Los Angeles Clippers
